category,type,difficulty,question,correct_answer,incorrect_answers
"General Knowledge","boolean","medium","An eggplant is a vegetable.","False","True"
"Science: Computers","multiple","hard","America Online (AOL) started out as which of these online service providers?","Quantum Link","CompuServe|Prodigy|GEnie"
"History","multiple","hard","Who is the creator of the soft drink, Dr. Pepper?","Charles Alderton","James Wellington|Johnson Hinsin|Boris Heviltik"
"Science: Computers","multiple","medium","What five letter word is the motto of the IBM Computer company?","Think","Click|Logic|Pixel"
"Entertainment: Video Games","multiple","medium","The walls of the Goldenrod City Gym in &quot;Pok&eacute;mon Gold and Silver&quot; are arranged in the shape of which Pok&eacute;mon?","Clefairy","Bulbasaur|Pikachu|Pidgey"
"Mythology","multiple","hard","What immense structure is referred to in Norse Mythology as the Yggdrasil.","Tree","Mountain|Temple|Castle"
"History","multiple","easy","On what street did the 1666 Great Fire of London start?","Pudding Lane","Baker Street|Houses of Parliament|St Paul&#039;s Cathedral"
"Entertainment: Video Games","multiple","medium","In &quot;Overwatch&quot;, what is the name of Mercy&#039;s &quot;ultimate ability&quot;?","Valkyrie","Earthshatter|Rocket Barrage|Molten Core"
"Entertainment: Comics","multiple","medium","Which Doom Patrol member was a later addition, first appearing in 1989?","Crazy Jane","Elast-Girl|Robotman|Negative Man"
"Science: Computers","multiple","medium","What is the correct term for the metal object in between the CPU and the CPU fan within a computer system?","Heat Sink","CPU Vent|Temperature Decipator|Heat Vent"
"Sports","multiple","easy","In Baseball, how many times does the ball have to be pitched outside of the strike zone before the batter is walked?","4","1|2|3"
"Entertainment: Video Games","multiple","medium","In &quot;The Binding of Isaac&quot;, what is the name of the final boss that you fight in The Void?","Delirium","Mega Satan|Hush|The Lamb"
"Entertainment: Television","multiple","medium","In &quot;Star Trek&quot;, what is the Klingon death ritual?","Look into sky and yell loudly in mourning.","Kiss the jagged forehead before burial.|Shoot into space in a torpedo casing.|Split the deceased&#039;s earnings between bloodkin."
"Entertainment: Cartoon &amp; Animations","multiple","easy","What is lost in Hawaiian and is also the name of a little girl in a 2002 film which features a alien named &quot;Stitch&quot;?","Lilo","Lolo|Lucy|Lulu"
"Geography","boolean","medium","You could walk from Norway to North Korea while only passing through Russia.","True","False"
"Geography","boolean","easy","Tokyo is the capital of Japan.","True","False"
"Entertainment: Video Games","multiple","medium","In &quot;Resident Evil 2&quot;, what is Leon Kennedy&#039;s middle name?","Scott","Shaun|Simon|Sam"
"Entertainment: Video Games","multiple","easy","Who is Sonic&#039;s sidekick?","Tails","Shadow|Amy|Knuckles"
"Entertainment: Japanese Anime &amp; Manga","boolean","easy","Gosho Aoyama Made This Series: (Detective Conan / Case Closed!)","True","False"
"General Knowledge","multiple","medium","Where does water from Poland Spring water bottles come from?","Maine, United States","Hesse, Germany|Masovia, Poland|Bavaria, Poland"
"Celebrities","multiple","medium","Which American celebrity died in 1977 playing golf in La Moraleja, Madrid?","Bing Crosby","Elvis Presley|Charlie Chaplin|Groucho Marx"
"Science: Computers","boolean","easy","Time on Computers is measured via the EPOX System.","False","True"
"Entertainment: Japanese Anime &amp; Manga","multiple","medium","Who is the creator of the manga series &quot;One Piece&quot;?","Eiichiro Oda","Yoshihiro Togashi|Hayao Miyazaki|Masashi Kishimoto"
"Politics","multiple","hard","What year did the effort to deploy the Common Core State Standards (CCSS) in the US begin?","2009","2012|2006|1997"
"Entertainment: Video Games","multiple","hard","When was Pokemon GO released in North America?","July 6th, 2016","June 5th, 2016|May 24th, 2016|January 2nd, 2017"
"Politics","multiple","medium","The 2014 movie &quot;The Raid 2: Berandal&quot; was mainly filmed in which Asian country?","Indonesia","Thailand|Brunei|Malaysia"
"General Knowledge","multiple","easy","In DC comics where does the Green Arrow (Oliver Queen) live?","Star City","Central City|Gotham City|Metropolis"
"Entertainment: Books","multiple","medium","Which of these book series is by James Patterson?","Maximum Ride","Harry Potter|The Legend of Xanth|The Bartemaeus Trilogy"
"Science &amp; Nature","multiple","hard","What is isobutylphenylpropanoic acid more commonly known as?","Ibuprofen","Morphine|Ketamine|Aspirin"
"Science &amp; Nature","multiple","hard","Which of the following elements is typically used in the doping of the semiconductor silicon?","Boron","Oxygen|Carbon|Iron"
"Entertainment: Video Games","multiple","hard","Which of the Master levels in &quot;Super Monkey Ball&quot; is also used in the arcade version of the game, simply named &quot;Monkey Ball&quot;?","MASTER 9 - Bridge Master","MASTER 3 - Stamina Master|MASTER 10 - Monkey Master|MASTER 6 - Roll Master"
"Science: Mathematics","multiple","hard","What is the fourth digit of &pi;?","1","2|3|4"
"Entertainment: Music","multiple","hard","The heavy metal band Black Sabbath hail from which English city?","Birmingham","Manchester|London|Newcastle-Upon-Tyne"
"Entertainment: Film","multiple","easy","When does &quot;Rogue One: A Star Wars Story&quot; take place chronologically in the series?","Between Episode 3 and 4","After Episode 6|Before Episode 1|Between Episode 4 and 5"
"Entertainment: Board Games","multiple","hard","In Magic: The Gathering, what card&#039;s flavor text is &quot;Catch!&quot;?","Lava Axe","Stone-Throwing Devils|Ember Shot|Throwing Knife"
"Entertainment: Video Games","boolean","easy","In Team Fortress 2, the weapon &quot;Your Eternal Reward&quot; is a reference to the 1992 film Aladdin.","True","False"
"Entertainment: Musicals &amp; Theatres","multiple","easy","What is Jean ValJean&#039;s first prisoner number?","24601","9430|1729|32769"
"General Knowledge","multiple","easy","What is the shape of the toy invented by Hungarian professor Ernő Rubik?","Cube","Sphere|Cylinder|Pyramid"
"Geography","multiple","medium","Which of these countries is NOT located in Africa?","Suriname","Burkina Faso|Mozambique|Algeria"
"General Knowledge","multiple","easy","What do sailors call the right side of a boat?","Starboard","Port|Stern|Bow"
"Entertainment: Television","boolean","easy","In &quot;Doctor Who&quot;, the Doctor gets his TARDIS by stealing it.","True","False"
"Entertainment: Video Games","multiple","easy","In PROTOTYPE 2. who is referred to as &quot;Tango Primary&quot;?","James Heller","Alex Mercer|Dana Mercer|Any Goliaths roaming around"
"Animals","multiple","medium","What is the world&#039;s longest venomous snake?","King Cobra","Green Anaconda|Inland Taipan|Yellow Bellied Sea Snake"
"Entertainment: Video Games","multiple","easy","In &quot;A Hat in Time&quot;, what must Hat Kid collect to finish a level","A time piece","A heart fragment|A relic fragment|A hat"
"General Knowledge","boolean","easy","The Great Wall of China is visible from the moon.","False","True"
"Entertainment: Video Games","multiple","easy","Pok&eacute;mon Go is a location-based augmented reality game developed and published by which company?","Niantic","Rovio|Zynga|Supercell"
"Entertainment: Video Games","multiple","hard","In TF2 Lore, what are the names of the Heavy&#039;s younger sisters?","Yana and Bronislava","Gaba and Anna|Yanna and Gaba|Anna and Bronislava"
"General Knowledge","multiple","easy","Which sign of the zodiac comes between Virgo and Scorpio?","Libra","Gemini|Taurus|Capricorn"
"Entertainment: Television","boolean","medium","In AMC&#039;s &quot;The Walking Dead,&quot; the characters Rick, Carl, Daryl, Morgan, Carol and Maggie were introduced in Season 1.","False","True"
"Entertainment: Video Games","multiple","medium","What is not a playable race in &quot;Final Fantasy XIV: A Realm Reborn&quot;?","Hume","Miqo&#039;te|Lalafell|Roegadyn"
"Entertainment: Video Games","multiple","hard","What military rank is the protagonist &quot;Nomad&quot; in &quot;Crysis&quot;?","First Lieutenant","Captain|First Sargent |Staff Sargent"
"History","multiple","medium","Which Las Vegas casino was originally constructed and operated by mobster Bugsy Siegel?","The Flamingo","The MGM Grand|The Sands|The Sahara"
"Entertainment: Video Games","multiple","hard","Which team won the &quot;Tom Clancy&#039;s Rainbow Six Siege&quot; Invitational Event February 2017 in the PC Category?","Continuum","GIFU|Santos Dexterity|eRa Eternity"
"Entertainment: Video Games","multiple","medium","What numbers did Sayaka Maizono write on the wall in Dangan Ronpa Trigger Happy Havoc?","11037","4, 8, 15, 16, 23, 42|55730|3, 9, 11, 12, 15, 17,"
"Mythology","multiple","medium","In African mythology, Anansi is a trickster and storyteller who takes the shape of which animal?","Spider","Wild dog|Monkey|Crocodile"
"Sports","multiple","medium","What is the exact length of one non-curved part in Lane 1 of an Olympic Track?","84.39m","100m|100yd|109.36yd"
"Entertainment: Music","multiple","hard","Who designed the album cover for True Romance, an album by Estelle?","Rebecca Sugar","Matt Burnett|Ian Jones Quartey|Ben Leven"
"Entertainment: Video Games","multiple","easy","What is the name of the game developer who created &quot;Call Of Duty: Zombies&quot;?","Treyarch","Sledgehammer Games|Infinity Ward|Naughty Dog"
"Entertainment: Video Games","multiple","medium","Who is Sora&#039;s Nobody in Kingdom Hearts?","Roxas","Riku|Kairi|Mickey"
"Science &amp; Nature","multiple","hard","Which of these chemical compounds is NOT found in gastric acid?","Sulfuric acid","Hydrochloric acid|Potassium chloride|Sodium chloride"
"Mythology","multiple","easy","The ancient Roman god of war was commonly known as which of the following?","Mars","Jupiter|Juno|Ares"
"Entertainment: Film","multiple","easy","In &quot;ALF&quot;, what was ALF&#039;s real name?","Gordon Shumway","Gordon Milipp|Gordon Foster|Gordon von Gam"
"History","multiple","medium","Which of the following battles is often considered as marking the beginning of the fall of the Western Roman Empire?","Battle of Adrianople","Battle of Thessalonica|Battle of Pollentia|Battle of Constantinople"
"Geography","multiple","easy","Which of these is the name of the largest city in the US state Tennessee?","Memphis","Thebes|Alexandria|Luxor"
"Entertainment: Music","multiple","easy","The &quot;British Invasion&quot; was a cultural phenomenon in music where British boy bands became popular in the USA in what decade?","60&#039;s","50&#039;s|40&#039;s|30&#039;s"
"Entertainment: Japanese Anime &amp; Manga","multiple","medium","In &quot;Love Live: School Idol Project&quot; what pseudonym does Kotori Minami use in her job as a maid?","Minalinsky","Stanoytchev|Kuznetsov|Aqours"
"Entertainment: Cartoon &amp; Animations","multiple","hard","In &quot;Gravity Falls&quot;, what does Quentin Trembley do when he is driven out from the White House?","Eat a salamander and jump out the window.","Leave in peace.|Jump out the window.|Release 1,000 captive salamanders into the white house."
"Entertainment: Video Games","multiple","medium","Who is the villain company in &quot;Stardew Valley&quot;?","Joja Co ","Ronin|Empire|Robotnik Industry&#039;s "
"Entertainment: Video Games","multiple","easy","What year was the game &quot;Overwatch&quot; revealed?","2014","2015|2011|2008"
"Geography","boolean","easy","Portugal&#039;s modern territory was once a part of the Roman Empire.","True","False"
"Entertainment: Comics","multiple","medium","Who was the first American Vampire (Scott Snyder&#039;s American Vampire)?","Skinner Sweet","Hattie Hargrove|Pearl Jones|James &quot;Jim&quot; Book"
"History","multiple","medium","Joseph Smith was the founder of what religion?","Mormonism","Buddhism|Christianity|Hinduism"
"Entertainment: Cartoon &amp; Animations","multiple","easy","What was the first Disney movie to use CGI?","The Black Cauldron","Tron|Toy Story|Fantasia"
"Politics","boolean","medium","Jeb Bush was elected as Governor of Florida in 2002, starting his political career.","False","True"
"Geography","multiple","hard","Into which basin does the Jordan River flow into?","Dead Sea","Aral Sea|Caspian Sea|Salton Sea"
